source_id,entry_type,category,title,word_count,h1_h2_h3_h4,tables,images,top_level_structure,method_family,direction_prompt,url,accessed_at,notes
AWP-11,online-paper,经济学范文,中美贸易战对中国经济的影响分析,24095,1/14/27/0,6,6,摘要；Abstract；第一章 引言；第二章 中美贸易战的背景与发展；第三章 中美贸易战对中国经济的影响；第四章 中美贸易战对中国经济的长期影响；第五章 中美贸易战的应对策略与政策建议；第六章 结论与展望；参考文献；致谢,经济政策分析,economics-policy-empirical,https://www.aiwritepaper.com/paper_editor?orderNumber=1949493723062599680,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-12,online-paper,法学范文,短视频著作权侵权问题研究,26045,1/14/13/36,5,4,摘要；Abstract；第一章 引言；第二章 理论框架与文献综述；第三章 短视频著作权侵权现状分析；第四章 短视频著作权侵权治理路径；第五章 国际经验借鉴与比较；第六章 结论与展望；参考文献；致谢,法学规范分析,legal-normative-analysis,https://www.aiwritepaper.com/paper_editor?orderNumber=1949492578290237440,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-13,online-paper,医学范文,过敏性鼻炎患者的护理对策与护理体会,24329,1/14/32/0,3,6,摘要；Abstract；第一章 引言；第二章 过敏性鼻炎的基本概念与分类；第三章 过敏性鼻炎患者的护理对策；第四章 过敏性鼻炎护理中的护理体会；第五章 案例分析与护理效果评估；第六章 结论与建议；参考文献；致谢,临床护理研究,clinical-nursing-research,https://www.aiwritepaper.com/paper_editor?orderNumber=1949491775026495488,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-14,online-paper,理学范文,浅谈数形结合在高中数学中的应用,23475,1/14/31/0,3,5,摘要；Abstract；第一章 引言；第二章 数形结合的基本概念与理论基础；第三章 数形结合在高中数学教学中的具体应用；第四章 数形结合教学的实际案例分析；第五章 数形结合教学的成效与挑战；第六章 结论与建议；参考文献；致谢,数学教育研究,mathematics-education,https://www.aiwritepaper.com/paper_editor?orderNumber=1949491437011730432,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-15,online-paper,文学范文,陶渊明诗歌隐逸意象研究,24120,1/14/32/0,3,6,摘要；Abstract；第一章 引言；第二章 陶渊明诗歌隐逸意象的概念与分类；第三章 陶渊明诗歌隐逸意象的文化内涵；第四章 陶渊明诗歌隐逸意象与其他诗人的对比分析；第五章 陶渊明诗歌隐逸意象的艺术表现；第六章 结论与建议；参考文献；致谢,文学文本分析,literature-textual-analysis,https://www.aiwritepaper.com/paper_editor?orderNumber=1949490584888541184,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-16,online-paper,通用毕业论文范文,基于微服务的医院就诊管理系统设计与实现,29874,1/14/14/39,12,8,摘要；Abstract；第一章 引言；第二章 理论框架与文献综述；第三章 系统设计与实现；第四章 系统测试与优化；第五章 案例分析与实施效果；第六章 结论；参考文献；致谢,通用毕业论文，需二次路由,universal-reference,https://www.aiwritepaper.com/paper_editor?orderNumber=1904004198249267200,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-17,online-paper,通用期刊论文范文,数字化背景下小米供应链金融发展模式与创新路径研究,9435,1/14/0/0,3,0,摘要；Abstract；第一章 引言；第二章 概念简述；第三章 理论分析；第四章 实证研究设计；第五章 实验结果与分析；第六章 结论与讨论；参考文献；致谢,通用期刊IMRaD,general-journal-imrad,https://www.aiwritepaper.com/paper_editor?orderNumber=1891126599143653376,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-18,online-paper,文献综述范文,北京古建筑的历史演变与文化传承,11672,1/12/13/0,0,0,第一章 绪论；第二章 文献综述方法论；第三章 主要理论与研究成果综述；第四章 研究方法与技术综述；第五章 研究现状、挑战与未来方向；第六章 结论与展望；参考文献；致谢,文献综述,literature-review-synthesis,https://www.aiwritepaper.com/paper_editor?orderNumber=1891120700643606528,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-19,online-paper,在职与MBA工作报告范文,社交媒体营销对消费者行为的影响－以合肥三只羊网络科技有限公司为例,47277,1/15/17/49,21,0,摘要；Abstract；第一章 引言；第二章 理论框架与文献综述；第三章 研究方法论；第四章 社交媒体营销对消费者行为的影响分析；第五章 社交媒体营销策略实证分析；第六章 政策分析与建议；第七章 结论与展望；参考文献；致谢,专业实践报告,professional-work-report,https://www.aiwritepaper.com/paper_editor?orderNumber=1889926281361883136,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-20,pdf-proposal,开题报告范文,基于SpringBoot的助农服务平台系统设计与实现（开题报告）,,PDF/12页,,,封面；选题背景与意义；国内外研究综述；研究目的与内容；大纲说明；研究方法与计划；参考文献,开题报告附加交付,proposal-report,https://content.aipasspaper.com/proposal_demo/%E5%BC%80%E9%A2%98%E8%8C%83%E6%96%87.pdf,2026-08-21,公开PDF，A4 12页；结构分析，不复制正文
AWP-21,pdf-presentation,PPT范文,AI赛道企业战略分析（PPT范文）,,PDF/演示页,,,背景；行业环境；企业能力；市场战略；应用案例；挑战；趋势；总结与展望,答辩或汇报附加交付,defense-presentation,https://content.aipasspaper.com/ppt_demo/ppt%E8%8C%83%E6%96%87.pdf,2026-08-21,公开PDF；结构分析，不复制正文
AWP-22,interactive-preview,软件系统互动范文,基于Golang和Vue.js的个人博客系统设计与实现,,图像页面/正文80页,,,摘要；文献综述；引言；需求分析；系统设计与实现；系统测试与优化；总结与展望；参考文献,软件系统设计,software-system-engineering,https://www.aiwritepaper.com/paper_preview?pic=vue,2026-08-21,公开互动预览；另含开题报告、任务书、问卷和答辩PPT页面；不保存页面全文
AWP-23,interactive-preview,医药工艺互动范文,热炎宁颗粒工艺提升对于药效的提升,,图像页面/正文88页,,,摘要；文献综述；引言；工艺综述；研究方法；实验研究与结果；政策建议；结论与展望,医药工艺与实验研究,chemical-materials-experiment,https://www.aiwritepaper.com/paper_preview?pic=medicine,2026-08-21,公开互动预览；结构证据，不将药效与实验数字视为已核验
AWP-24,interactive-preview,金融机器学习互动范文,基于机器学习的银行信贷评分模型研究,,图像页面/正文51页,,,摘要；文献综述；引言；理论基础；数据与模型方法；实证分析；风险管理建议；结论与展望,机器学习应用实证,machine-learning-applied-empirical,https://www.aiwritepaper.com/paper_preview?pic=bank,2026-08-21,公开互动预览；模型结果必须由真实数据和运行日志重新验证
AWP-25,interactive-preview-en,英文软件系统互动范文,Conference Reservation Management System based on SpringBoot + VUE,,图像页面/正文52页,,,Abstract；Literature Review；Introduction；System Design；Implementation and Integration；Evaluation and Results；Conclusion；References,英文软件系统设计,software-system-engineering,https://www.aiwritepaper.com/paper_preview_en?pic=0,2026-08-21,公开英文互动预览；作为语言和格式覆盖证据，不单独创建研究方法模板
